date,date_time,home_team,away_team,venue,home_score,away_score,margin,outcome,final,home_odds,away_odds
2009-08-08,2009-08-08 14:10:00,Western Bulldogs,West Coast,Marvel Stadium,97,102,-5,0.0,False,1.06,8.38
2009-08-08,2009-08-08 19:10:00,Adelaide,Collingwood,AAMI Stadium,68,89,-21,0.0,False,1.84,1.87
2009-08-08,2009-08-08 19:10:00,Essendon,Brisbane,MCG,87,87,0,0.5,False,2.4,1.54
2009-08-09,2009-08-09 13:10:00,North Melbourne,Melbourne,Marvel Stadium,123,61,62,1.0,False,1.34,3.17
2009-08-09,2009-08-09 14:10:00,Richmond,Sydney,MCG,68,123,-55,0.0,False,1.79,1.92
2009-08-09,2009-08-09 14:40:00,Fremantle,Port Adelaide,Domain Stadium,116,74,42,1.0,False,2.48,1.5
2009-08-14,2009-08-14 19:40:00,Hawthorn,Adelaide,MCG,67,94,-27,0.0,False,2.14,1.67
2009-08-15,2009-08-15 14:10:00,Richmond,Collingwood,MCG,59,152,-93,0.0,False,6.44,1.1
2009-08-15,2009-08-15 14:10:00,West Coast,North Melbourne,Domain Stadium,110,72,38,1.0,False,1.37,2.93
2009-08-15,2009-08-15 19:10:00,Brisbane,Western Bulldogs,Gabba,84,102,-18,0.0,False,1.75,1.98
2009-08-15,2009-08-15 19:10:00,Sydney,Geelong,Accor Stadium,87,92,-5,0.0,False,2.61,1.45
2009-08-16,2009-08-16 13:10:00,Melbourne,Fremantle,MCG,127,64,63,1.0,False,2.18,1.63
2009-08-16,2009-08-16 14:40:00,Port Adelaide,Carlton,AAMI Stadium,67,121,-54,0.0,False,1.91,1.8
2009-08-16,2009-08-16 16:40:00,Essendon,St Kilda,Marvel Stadium,110,108,2,1.0,False,5.5,1.13
2009-08-21,2009-08-21 19:40:00,Western Bulldogs,Geelong,Marvel Stadium,110,96,14,1.0,False,2.24,1.61
2009-08-22,2009-08-22 14:10:00,Carlton,Melbourne,Marvel Stadium,153,96,57,1.0,False,1.07,7.63
2009-08-22,2009-08-22 14:40:00,Adelaide,West Coast,AAMI Stadium,122,48,74,1.0,False,1.16,4.9
2009-08-22,2009-08-22 19:10:00,Brisbane,Port Adelaide,Gabba,107,92,15,1.0,False,1.18,4.6
